2026-05-26 13:41:33.388 INFO  [18340] [CServerManager::PrintLog@36267] ======================================== 4.2.0 build Sep  6 2022 10:18:34 Start Print Log ========================================

2026-05-26 14:07:19.700 INFO  [22236] [CServerManager::SM_GetSolutionVersion@1533] end

2026-05-26 14:07:19.700 INFO  [22236] [CServerManager::SM_LoadSolution@1798] SM_GetSolutionVersion:[V4.3.0]

2026-05-26 14:07:19.700 INFO  [22236] [CServerManager::SM_LoadSolution@1807] Judge end.

2026-05-26 14:07:19.700 INFO  [22236] [CServerManager::SM_LoadSolution@1896] end

2026-05-26 14:07:19.700 INFO  [18260] [CServerManager::ParseLoadSolBeginInfo@28577] SDK: Callback load solution start information start.

2026-05-26 14:07:19.701 INFO  [18260] [CServerManager::ParseLoadSolBeginInfo@28594] SDK: Callback load solution start information end. ClientType:[1] Path:[D:\xcm\Test\相机拍与输出（无数据输出）2.sol]

2026-05-26 14:07:19.703 INFO  [18260] [CServerManager::ParseLoadSolProgressInfo@28813] SDK: Cb load solution process:[15]

2026-05-26 14:07:19.706 INFO  [19004] [CServerManager::ParseOutputResForSP@31494] SDK: Callback procedure stop execute info end. nProcessID:[10000]; nStatus:[0]; m_nStopIndex:[14]

2026-05-26 14:07:19.711 INFO  [18260] [CServerManager::ParseProcessStopRunInfo@29453] SDK: Stop from server nStopIndex:[0]

2026-05-26 14:07:19.711 INFO  [18260] [CServerManager::CallbackStopStatus@22955] SDK: Asny Callback procedure stop execute info end. nProcessID:[10000]; nStatus:[0]

